gene,cancer_type
A1BG,MESO
A1CF,MESO
AAAS,MESO
AACS,MESO
AADACL2,MESO
AADAT,MESO
AAGAB,MESO
AAMP,MESO
AAR2,MESO
AARD,MESO
AARS,MESO
AARS2,MESO
AASDHPPT,MESO
AASS,MESO
AATF,MESO
AATK,MESO
ABCA1,MESO
ABCA10,MESO
ABCA12,MESO
ABCA13,MESO
ABCA4,MESO
ABCA5,MESO
ABCA6,MESO
ABCA9,MESO
ABCB1,MESO
ABCB4,MESO
ABCB5,MESO
ABCB7,MESO
ABCB8,MESO
ABCC11,MESO
ABCC12,MESO
ABCC2,MESO
ABCC9,MESO
ABCD1,MESO
ABCD3,MESO
ABCE1,MESO
ABCF1,MESO
ABCF2,MESO
ABCG2,MESO
ABHD10,MESO
ABHD13,MESO
ABHD15,MESO
ABHD17A,MESO
ABHD17B,MESO
ABI1,MESO
ABI3BP,MESO
ABLIM1,MESO
ABLIM3,MESO
ABT1,MESO
ACAA2,MESO
ACACA,MESO
ACAD8,MESO
ACAD9,MESO
ACADSB,MESO
ACAP2,MESO
ACAP3,MESO
ACAT1,MESO
ACAT2,MESO
ACBD7,MESO
ACCSL,MESO
ACER1,MESO
ACHE,MESO
ACIN1,MESO
ACKR4,MESO
ACLY,MESO
ACN9,MESO
ACO1,MESO
ACO2,MESO
ACOT2,MESO
ACOT4,MESO
ACOT6,MESO
ACOT9,MESO
ACOX1,MESO
ACOXL,MESO
ACPL2,MESO
ACR,MESO
ACSL1,MESO
ACSL3,MESO
ACSL4,MESO
ACSL5,MESO
ACSM1,MESO
ACSM3,MESO
ACSS2,MESO
ACTB,MESO
ACTG1,MESO
ACTL6A,MESO
ACTN4,MESO
ACTR10,MESO
ACTR1A,MESO
ACTR2,MESO
ACTR3,MESO
ACTR3B,MESO
ACTR3C,MESO
ACTR5,MESO
ACTR6,MESO
ACTR8,MESO
ACTRT3,MESO
ACVR1,MESO
ACVR1B,MESO
ACVR2A,MESO
ACVR2B,MESO
ACVRL1,MESO
ADA,MESO
ADAL,MESO
ADAM10,MESO
ADAM11,MESO
ADAM17,MESO
ADAM2,MESO
ADAM21,MESO
ADAM23,MESO
ADAM32,MESO
ADAM33,MESO
ADAMDEC1,MESO
ADAMTS10,MESO
ADAMTS17,MESO
ADAMTS2,MESO
ADAMTS3,MESO
ADAMTS9,MESO
ADAMTSL4,MESO
ADAMTSL5,MESO
ADAP1,MESO
ADAP2,MESO
ADAR,MESO
ADAT2,MESO
ADAT3,MESO
ADCK2,MESO
ADCY2,MESO
ADCY8,MESO
ADD3,MESO
ADH5,MESO
ADH6,MESO
ADHFE1,MESO
ADI1,MESO
ADIPOR1,MESO
ADIPOR2,MESO
ADK,MESO
ADNP,MESO
ADORA2A,MESO
ADPGK,MESO
ADPRHL2,MESO
ADPRM,MESO
ADRBK1,MESO
ADRM1,MESO
ADSL,MESO
ADSS,MESO
AFF1,MESO
AFF2,MESO
AFF4,MESO
AFG3L2,MESO
AFP,MESO
AGA,MESO
AGAP2,MESO
AGAP3,MESO
AGAP5,MESO
AGAP6,MESO
AGAP7,MESO
AGBL3,MESO
AGK,MESO
AGL,MESO
AGO3,MESO
AGPAT1,MESO
AGPAT2,MESO
AGPAT3,MESO
AGPAT4,MESO
AGPAT5,MESO
AGR2,MESO
AGR3,MESO
AGRP,MESO
AGTPBP1,MESO
AGTR1,MESO
AGTR2,MESO
AHCTF1,MESO
AHCY,MESO
AHCYL1,MESO
AHCYL2,MESO
AHI1,MESO
AHNAK,MESO
AHR,MESO
AHSA1,MESO
AIFM1,MESO
AIFM2,MESO
AIMP2,MESO
AK1,MESO
AK2,MESO
AK3,MESO
AK4,MESO
AK6,MESO
AK9,MESO
AKAP13,MESO
AKAP17A,MESO
AKAP3,MESO
AKAP4,MESO
AKAP5,MESO
AKAP8L,MESO
AKAP9,MESO
AKIP1,MESO
AKIRIN1,MESO
AKIRIN2,MESO
AKR1B15,MESO
AKR1C2,MESO
AKR1C4,MESO
AKR1D1,MESO
AKR7A3,MESO
AKT1,MESO
AKT2,MESO
AKTIP,MESO
ALAD,MESO
ALAS1,MESO
ALAS2,MESO
ALCAM,MESO
ALDH16A1,MESO
ALDH3A2,MESO
ALDH6A1,MESO
ALDH8A1,MESO
ALDH9A1,MESO
ALDOA,MESO
ALDOC,MESO
ALG1,MESO
ALG10,MESO
ALG10B,MESO
ALG11,MESO
ALG12,MESO
ALG13,MESO
ALG14,MESO
ALG1L,MESO
ALG2,MESO
ALG3,MESO
ALG5,MESO
ALG6,MESO
ALG8,MESO
ALG9,MESO
ALK,MESO
ALKBH1,MESO
ALKBH3,MESO
ALKBH4,MESO
ALKBH8,MESO
ALLC,MESO
ALMS1,MESO
ALOX5,MESO
ALPK3,MESO
ALS2CR11,MESO
ALX3,MESO
ALX4,MESO
ALYREF,MESO
AMACR,MESO
AMBN,MESO
AMBRA1,MESO
AMD1,MESO
AMDHD2,MESO
AMER1,MESO
AMER3,MESO
AMFR,MESO
AMN,MESO
AMPD1,MESO
AMTN,MESO
AMY1B,MESO
AMY2A,MESO
AMY2B,MESO
AMZ2,MESO
ANAPC1,MESO
ANAPC10,MESO
ANAPC11,MESO
ANAPC13,MESO
ANAPC15,MESO
ANAPC16,MESO
ANAPC2,MESO
ANAPC4,MESO
ANAPC5,MESO
ANG,MESO
ANGEL2,MESO
ANGPT1,MESO
ANGPTL3,MESO
ANGPTL5,MESO
ANK3,MESO
ANKAR,MESO
ANKFY1,MESO
ANKHD1,MESO
ANKHD1-EIF4EBP3,MESO
ANKIB1,MESO
ANKLE2,MESO
ANKMY2,MESO
ANKRA2,MESO
ANKRD1,MESO
ANKRD11,MESO
ANKRD17,MESO
ANKRD18A,MESO
ANKRD22,MESO
ANKRD23,MESO
ANKRD28,MESO
ANKRD30A,MESO
ANKRD31,MESO
ANKRD32,MESO
ANKRD34B,MESO
ANKRD34C,MESO
ANKRD36,MESO
ANKRD40,MESO
ANKRD42,MESO
ANKRD49,MESO
ANKRD50,MESO
ANKRD52,MESO
ANKRD54,MESO
ANKRD6,MESO
ANKRD65,MESO
ANKRD7,MESO
ANLN,MESO
ANO1,MESO
ANO3,MESO
ANP32A,MESO
ANP32B,MESO
ANP32E,MESO
ANTXR1,MESO
ANTXR2,MESO
ANTXRL,MESO
ANXA1,MESO
ANXA10,MESO
ANXA13,MESO
ANXA2,MESO
ANXA2R,MESO
ANXA3,MESO
ANXA8,MESO
ANXA8L2,MESO
AOAH,MESO
AP1AR,MESO
AP1B1,MESO
AP1G1,MESO
AP1M2,MESO
AP1S2,MESO
AP2A1,MESO
AP2B1,MESO
AP2M1,MESO
AP2S1,MESO
AP3B1,MESO
AP3M1,MESO
AP3M2,MESO
AP3S1,MESO
AP4S1,MESO
AP5M1,MESO
APBA1,MESO
APBA2,MESO
APBB1IP,MESO
APC,MESO
APC2,MESO
APCS,MESO
APEX1,MESO
APEX2,MESO
APH1A,MESO
APH1B,MESO
API5,MESO
APIP,MESO
APITD1,MESO
APITD1-CORT,MESO
APLP1,MESO
APLP2,MESO
APMAP,MESO
APOBEC3A,MESO
APOBEC3D,MESO
APOBEC4,MESO
APOC2,MESO
APOE,MESO
APOH,MESO
APOL2,MESO
APOOL,MESO
APPBP2,MESO
APPL2,MESO
APRT,MESO
APTX,MESO
AQP1,MESO
AQP10,MESO
AQP12B,MESO
AQP7,MESO
AQP9,MESO
AQR,MESO
AR,MESO
ARAP1,MESO
ARAP2,MESO
ARCN1,MESO
ARF1,MESO
ARF3,MESO
ARF4,MESO
ARF6,MESO
ARFGAP1,MESO
ARFGEF1,MESO
ARFIP1,MESO
ARFRP1,MESO
ARGLU1,MESO
ARHGAP1,MESO
ARHGAP11A,MESO
ARHGAP11B,MESO
ARHGAP19,MESO
ARHGAP21,MESO
ARHGAP24,MESO
ARHGAP26,MESO
ARHGAP29,MESO
ARHGAP30,MESO
ARHGAP35,MESO
ARHGAP5,MESO
ARHGAP6,MESO
ARHGAP8,MESO
ARHGDIB,MESO
ARHGEF11,MESO
ARHGEF12,MESO
ARHGEF2,MESO
ARHGEF25,MESO
ARHGEF3,MESO
ARHGEF33,MESO
ARHGEF35,MESO
ARHGEF38,MESO
ARHGEF5,MESO
ARHGEF7,MESO
ARHGEF9,MESO
ARID1A,MESO
ARID1B,MESO
ARID2,MESO
ARID3A,MESO
ARID3B,MESO
ARID4A,MESO
ARID4B,MESO
ARID5A,MESO
ARIH1,MESO
ARIH2,MESO
ARL1,MESO
ARL10,MESO
ARL11,MESO
ARL13B,MESO
ARL14,MESO
ARL14EP,MESO
ARL14EPL,MESO
ARL15,MESO
ARL2,MESO
ARL2BP,MESO
ARL3,MESO
ARL4A,MESO
ARL5A,MESO
ARL5B,MESO
ARL6IP1,MESO
ARL6IP6,MESO
ARL8B,MESO
ARMC1,MESO
ARMC10,MESO
ARMC2,MESO
ARMC5,MESO
ARMC7,MESO
ARMC9,MESO
ARMCX1,MESO
ARMCX3,MESO
ARMCX5,MESO
ARMCX6,MESO
ARNT,MESO
ARNTL,MESO
ARPC1A,MESO
ARPC2,MESO
ARPC3,MESO
ARPC4,MESO
ARPC5,MESO
ARPP19,MESO
ARRB1,MESO
ARRB2,MESO
ARRDC4,MESO
ARSB,MESO
ARSK,MESO
ART3,MESO
ARTN,MESO
ARV1,MESO
AS3MT,MESO
ASAH1,MESO
ASB17,MESO
ASB3,MESO
ASB6,MESO
ASB7,MESO
ASCC1,MESO
ASCC3,MESO
ASCL1,MESO
ASCL2,MESO
ASF1A,MESO
ASF1B,MESO
ASH2L,MESO
ASIC1,MESO
ASIP,MESO
ASMT,MESO
ASNA1,MESO
ASNS,MESO
ASNSD1,MESO
ASPDH,MESO
ASPHD2,MESO
ASPM,MESO
ASTL,MESO
ASUN,MESO
ASXL3,MESO
ATAD1,MESO
ATAD2,MESO
ATAD3A,MESO
ATAD5,MESO
ATAT1,MESO
ATF1,MESO
ATF2,MESO
ATF4,MESO
ATF5,MESO
ATF6,MESO
ATF7,MESO
ATF7IP,MESO
ATG10,MESO
ATG12,MESO
ATG13,MESO
ATG14,MESO
ATG2B,MESO
ATG3,MESO
ATG4C,MESO
ATG5,MESO
ATG9A,MESO
ATHL1,MESO
ATIC,MESO
ATL1,MESO
ATL2,MESO
ATL3,MESO
ATM,MESO
ATMIN,MESO
ATOH1,MESO
ATOX1,MESO
ATP10A,MESO
ATP10D,MESO
ATP11B,MESO
ATP11C,MESO
ATP13A1,MESO
ATP1A1,MESO
ATP1B1,MESO
ATP1B3,MESO
ATP2A2,MESO
ATP2B1,MESO
ATP2B4,MESO
ATP2C1,MESO
ATP5A1,MESO
ATP5B,MESO
ATP5C1,MESO
ATP5D,MESO
ATP5F1,MESO
ATP5G1,MESO
ATP5G2,MESO
ATP5H,MESO
ATP5I,MESO
ATP5J,MESO
ATP5J2,MESO
ATP5J2-PTCD1,MESO
ATP5L,MESO
ATP5L2,MESO
ATP5O,MESO
ATP5SL,MESO
ATP6AP1,MESO
ATP6AP1L,MESO
ATP6AP2,MESO
ATP6V0A1,MESO
ATP6V0B,MESO
ATP6V0C,MESO
ATP6V0D1,MESO
ATP6V0D2,MESO
ATP6V0E1,MESO
ATP6V0E2,MESO
ATP6V1A,MESO
ATP6V1B2,MESO
ATP6V1C1,MESO
ATP6V1D,MESO
ATP6V1E1,MESO
ATP6V1F,MESO
ATP6V1G1,MESO
ATP6V1G3,MESO
ATP6V1H,MESO
ATP7A,MESO
ATP8A1,MESO
ATP8A2,MESO
ATP8B2,MESO
ATPAF2,MESO
ATPIF1,MESO
ATR,MESO
ATRIP,MESO
ATRN,MESO
ATRX,MESO
ATXN10,MESO
ATXN2L,MESO
ATXN3L,MESO
ATXN7,MESO
ATXN7L3,MESO
ATXN7L3B,MESO
AUP1,MESO
AURKA,MESO
AURKAIP1,MESO
AURKB,MESO
AUTS2,MESO
AVEN,MESO
AVIL,MESO
AVP,MESO
AVPR1A,MESO
AXDND1,MESO
AXIN2,MESO
AZGP1,MESO
AZI2,MESO
AZIN1,MESO
B3GALNT1,MESO
B3GALT4,MESO
B3GNT2,MESO
B3GNT5,MESO
B3GNT6,MESO
B4GALNT1,MESO
B4GALT3,MESO
B4GALT4,MESO
B4GALT7,MESO
BACH1,MESO
BAG4,MESO
BAI2,MESO
BAK1,MESO
BAMBI,MESO
BANF1,MESO
BANK1,MESO
BANP,MESO
BAP1,MESO
BARD1,MESO
BATF,MESO
BATF2,MESO
BAZ1A,MESO
BAZ1B,MESO
BAZ2B,MESO
BBIP1,MESO
BBS10,MESO
BBS12,MESO
BBS5,MESO
BCAN,MESO
BCAP29,MESO
BCAP31,MESO
BCAR1,MESO
BCAR3,MESO
BCAS1,MESO
BCAS2,MESO
BCAT1,MESO
BCCIP,MESO
BCDIN3D,MESO
BCKDHA,MESO
BCL10,MESO
BCL11B,MESO
BCL2,MESO
BCL2L1,MESO
BCL2L12,MESO
BCL2L15,MESO
BCL2L2-PABPN1,MESO
BCL6,MESO
BCL7C,MESO
BCL9,MESO
BCL9L,MESO
BCLAF1,MESO
BCORL1,MESO
BCS1L,MESO
BDH2,MESO
BDNF,MESO
BDP1,MESO
BECN1,MESO
BEND3,MESO
BET1,MESO
BEX2,MESO
BEX4,MESO
BFAR,MESO
BFSP1,MESO
BGLAP,MESO
BHLHB9,MESO
BHLHE22,MESO
BHLHE40,MESO
BHLHE41,MESO
BHMT,MESO
BICD2,MESO
BID,MESO
BIRC2,MESO
BIRC3,MESO
BIRC5,MESO
BIRC6,MESO
BIRC8,MESO
BIVM,MESO
BLM,MESO
BLOC1S2,MESO
BLOC1S6,MESO
BLVRB,MESO
BLZF1,MESO
BMF,MESO
BMI1,MESO
BMP10,MESO
BMP2K,MESO
BMP3,MESO
BMP4,MESO
BMP5,MESO
BMP8A,MESO
BMP8B,MESO
BMPR1A,MESO
BMPR1B,MESO
BMPR2,MESO
BMS1,MESO
BNC1,MESO
BNC2,MESO
BNIP1,MESO
BNIP2,MESO
BNIP3,MESO
BOD1L1,MESO
BOD1L2,MESO
BOLA3,MESO
BOP1,MESO
BORA,MESO
BPGM,MESO
BPIFC,MESO
BPNT1,MESO
BPTF,MESO
BPY2C,MESO
BRAF,MESO
BRAP,MESO
BRAT1,MESO
BRCA1,MESO
BRCA2,MESO
BRCC3,MESO
BRD1,MESO
BRD2,MESO
BRD4,MESO
BRD7,MESO
BRD8,MESO
BRD9,MESO
BRF1,MESO
BRF2,MESO
BRI3,MESO
BRI3BP,MESO
BRINP2,MESO
BRIP1,MESO
BRIX1,MESO
BRMS1,MESO
BRMS1L,MESO
BRPF1,MESO
BRPF3,MESO
BRS3,MESO
BRWD1,MESO
BRWD3,MESO
BSCL2,MESO
BSG,MESO
BSN,MESO
BSND,MESO
BSPH1,MESO
BST1,MESO
BTAF1,MESO
BTBD10,MESO
BTBD3,MESO
BTBD6,MESO
BTBD7,MESO
BTBD8,MESO
BTBD9,MESO
BTC,MESO
BTD,MESO
BTF3,MESO
BTF3L4,MESO
BTG1,MESO
BTK,MESO
BTLA,MESO
BTRC,MESO
BUB1,MESO
BUB1B,MESO
BUB3,MESO
BUD13,MESO
BUD31,MESO
BYSL,MESO
BZW1,MESO
BZW2,MESO
C10orf10,MESO
C10orf107,MESO
C10orf128,MESO
C10orf129,MESO
C10orf131,MESO
C10orf137,MESO
C10orf2,MESO
C10orf68,MESO
C10orf76,MESO
C10orf82,MESO
C10orf88,MESO
C10orf95,MESO
C11orf30,MESO
C11orf31,MESO
C11orf42,MESO
C11orf49,MESO
C11orf54,MESO
C11orf57,MESO
C11orf58,MESO
C11orf65,MESO
C11orf70,MESO
C11orf73,MESO
C11orf74,MESO
C11orf82,MESO
C11orf83,MESO
C11orf85,MESO
C11orf88,MESO
C11orf91,MESO
C11orf94,MESO
C12orf10,MESO
C12orf4,MESO
C12orf40,MESO
C12orf42,MESO
C12orf43,MESO
C12orf45,MESO
C12orf49,MESO
C12orf50,MESO
C12orf52,MESO
C12orf56,MESO
C12orf57,MESO
C12orf65,MESO
C12orf71,MESO
C12orf75,MESO
C13orf45,MESO
C14orf159,MESO
C14orf164,MESO
C14orf166,MESO
C14orf166B,MESO
C14orf178,MESO
C14orf2,MESO
C14orf28,MESO
C14orf39,MESO
C14orf80,MESO
C15orf26,MESO
C15orf38-AP3S2,MESO
C15orf41,MESO
C15orf43,MESO
C15orf48,MESO
C15orf57,MESO
C16orf45,MESO
C16orf59,MESO
C16orf62,MESO
C16orf72,MESO
C16orf80,MESO
C16orf87,MESO
C16orf90,MESO
C16orf92,MESO
C17orf102,MESO
C17orf104,MESO
C17orf105,MESO
C17orf49,MESO
C17orf58,MESO
C17orf66,MESO
C17orf70,MESO
C17orf74,MESO
C17orf75,MESO
C17orf80,MESO
C17orf85,MESO
C17orf89,MESO
C17orf96,MESO
C17orf98,MESO
C17orf99,MESO
C18orf21,MESO
C18orf32,MESO
C19orf18,MESO
C19orf25,MESO
C19orf40,MESO
C19orf43,MESO
C19orf48,MESO
C19orf52,MESO
C19orf53,MESO
C19orf70,MESO
C19orf77,MESO
C19orf82,MESO
C19orf83,MESO
C1D,MESO
C1GALT1,MESO
C1GALT1C1,MESO
C1orf101,MESO
C1orf105,MESO
C1orf109,MESO
C1orf112,MESO
C1orf122,MESO
C1orf131,MESO
C1orf146,MESO
C1orf172,MESO
C1orf234,MESO
C1orf27,MESO
C1orf35,MESO
C1orf43,MESO
C1orf52,MESO
C1orf54,MESO
C1orf74,MESO
C1orf86,MESO
C1orf87,MESO
C1QBP,MESO
C1QL2,MESO
C1QTNF5,MESO
C1QTNF9,MESO
C1QTNF9B,MESO
C1S,MESO
C20orf112,MESO
C20orf196,MESO
C20orf197,MESO
C20orf24,MESO
C20orf85,MESO
C21orf2,MESO
C21orf59,MESO
C22orf43,MESO
C22orf46,MESO
C2CD4D,MESO
C2CD5,MESO
C2orf15,MESO
C2orf43,MESO
C2orf49,MESO
C2orf53,MESO
C2orf57,MESO
C2orf68,MESO
C2orf76,MESO
C2orf78,MESO
C2orf80,MESO
C2orf88,MESO
C3orf14,MESO
C3orf17,MESO
C3orf27,MESO
C3orf36,MESO
C3orf38,MESO
C3orf58,MESO
C3orf62,MESO
C3orf70,MESO
C3orf83,MESO
C4BPA,MESO
C4BPB,MESO
C4orf27,MESO
C4orf33,MESO
C4orf46,MESO
C4orf47,MESO
C4orf51,MESO
C5orf15,MESO
C5orf38,MESO
C5orf48,MESO
C5orf52,MESO
C5orf58,MESO
C5orf60,MESO
C6,MESO
C6orf106,MESO
C6orf163,MESO
C6orf211,MESO
C6orf226,MESO
C6orf47,MESO
C6orf48,MESO
C6orf58,MESO
C6orf62,MESO
C6orf89,MESO
C7orf25,MESO
C7orf26,MESO
C7orf34,MESO
C7orf55-LUC7L2,MESO
C7orf57,MESO
C7orf62,MESO
C8orf33,MESO
C8orf44,MESO
C8orf88,MESO
C9orf114,MESO
C9orf129,MESO
C9orf131,MESO
C9orf135,MESO
C9orf153,MESO
C9orf156,MESO
C9orf16,MESO
C9orf172,MESO
C9orf41,MESO
C9orf78,MESO
C9orf85,MESO
C9orf96,MESO
CA11,MESO
CA5A,MESO
CAAP1,MESO
CAB39,MESO
CABIN1,MESO
CACNA2D1,MESO
CACNB1,MESO
CACNB3,MESO
CACNG2,MESO
CACNG3,MESO
CACNG6,MESO
CACTIN,MESO
CACYBP,MESO
CAD,MESO
CADM4,MESO
CALCA,MESO
CALCB,MESO
CALCOCO2,MESO
CALM2,MESO
CALML6,MESO
CAMK1D,MESO
CAMK2B,MESO
CAMLG,MESO
CAMSAP2,MESO
CAMSAP3,MESO
CAND1,MESO
CANT1,MESO
CANX,MESO
CAP1,MESO
CAPN15,MESO
CAPRIN1,MESO
CAPS2,MESO
CAPZA2,MESO
CAPZB,MESO
CARD10,MESO
CARD16,MESO
CARD17,MESO
CARM1,MESO
CARS,MESO
CARS2,MESO
CASC1,MESO
CASC3,MESO
CASC5,MESO
CASP3,MESO
CASP8,MESO
CAST,MESO
CASZ1,MESO
CATSPER1,MESO
CATSPER4,MESO
CAV1,MESO
CAV2,MESO
CBFB,MESO
CBLL1,MESO
CBLN2,MESO
CBLN4,MESO
CBWD1,MESO
CBWD3,MESO
CBX1,MESO
CBX3,MESO
CC2D1A,MESO
CC2D2B,MESO
CCAR1,MESO
CCDC101,MESO
CCDC102A,MESO
CCDC102B,MESO
CCDC104,MESO
CCDC106,MESO
CCDC107,MESO
CCDC109B,MESO
CCDC112,MESO
CCDC115,MESO
CCDC117,MESO
CCDC12,MESO
CCDC121,MESO
CCDC130,MESO
CCDC132,MESO
CCDC137,MESO
CCDC140,MESO
CCDC144A,MESO
CCDC144NL,MESO
CCDC148,MESO
CCDC152,MESO
CCDC158,MESO
CCDC160,MESO
CCDC172,MESO
CCDC173,MESO
CCDC174,MESO
CCDC178,MESO
CCDC179,MESO
CCDC181,MESO
CCDC22,MESO
CCDC23,MESO
CCDC25,MESO
CCDC27,MESO
CCDC38,MESO
CCDC43,MESO
CCDC50,MESO
CCDC51,MESO
CCDC58,MESO
CCDC59,MESO
CCDC6,MESO
CCDC62,MESO
CCDC63,MESO
CCDC66,MESO
CCDC68,MESO
CCDC69,MESO
CCDC73,MESO
CCDC74B,MESO
CCDC77,MESO
CCDC80,MESO
CCDC82,MESO
CCDC84,MESO
CCDC85C,MESO
CCDC86,MESO
CCDC9,MESO
CCDC90B,MESO
CCDC91,MESO
CCDC93,MESO
CCDC94,MESO
CCER1,MESO
CCIN,MESO
CCL1,MESO
CCL13,MESO
CCL27,MESO
CCL7,MESO
CCM2,MESO
CCNA2,MESO
CCNB1,MESO
CCNB1IP1,MESO
CCNB2,MESO
CCNC,MESO
CCND1,MESO
CCND2,MESO
CCND3,MESO
CCNDBP1,MESO
CCNE1,MESO
CCNE2,MESO
CCNF,MESO
CCNG1,MESO
CCNH,MESO
CCNI,MESO
CCNK,MESO
CCNL1,MESO
CCNT1,MESO
CCNT2,MESO
CCNYL1,MESO
CCP110,MESO
CCR4,MESO
CCR5,MESO
CCS,MESO
CCSER1,MESO
CCT2,MESO
CCT3,MESO
CCT4,MESO
CCT5,MESO
CCT6A,MESO
CCT6B,MESO
CCT7,MESO
CCT8,MESO
CCT8L2,MESO
CCZ1B,MESO
CD151,MESO
CD163,MESO
CD164,MESO
CD177,MESO
CD19,MESO
CD1C,MESO
CD200,MESO
CD244,MESO
CD27,MESO
CD276,MESO
CD2AP,MESO
CD2BP2,MESO
CD300C,MESO
CD302,MESO
CD36,MESO
CD37,MESO
CD3D,MESO
CD3EAP,MESO
CD4,MESO
CD44,MESO
CD46,MESO
CD47,MESO
CD48,MESO
CD52,MESO
CD55,MESO
CD58,MESO
CD5L,MESO
CD79A,MESO
CD79B,MESO
CD81,MESO
CD86,MESO
CD8B,MESO
CD9,MESO
CD96,MESO
CDADC1,MESO
CDAN1,MESO
CDC123,MESO
CDC16,MESO
CDC20,MESO
CDC23,MESO
CDC25A,MESO
CDC25B,MESO
CDC26,MESO
CDC27,MESO
CDC37,MESO
CDC37L1,MESO
CDC40,MESO
CDC42,MESO
CDC45,MESO
CDC5L,MESO
CDC6,MESO
CDC7,MESO
CDC73,MESO
CDCA2,MESO
CDCA3,MESO
CDCA5,MESO
CDCA8,MESO
CDCP2,MESO
CDH1,MESO
CDH10,MESO
CDH11,MESO
CDH17,MESO
CDH2,MESO
CDH23,MESO
CDH24,MESO
CDIP1,MESO
CDIPT,MESO
CDK1,MESO
CDK11A,MESO
CDK12,MESO
CDK13,MESO
CDK16,MESO
CDK17,MESO
CDK2,MESO
CDK2AP2,MESO
CDK4,MESO
CDK5,MESO
CDK5R2,MESO
CDK5RAP2,MESO
CDK5RAP3,MESO
CDK6,MESO
CDK7,MESO
CDK8,MESO
CDK9,MESO
CDKL4,MESO
CDKN2AIP,MESO
CDKN2B,MESO
CDRT1,MESO
CDRT15,MESO
CDRT15L2,MESO
CDS2,MESO
CDT1,MESO
CDX2,MESO
CDY2B,MESO
CEACAM3,MESO
